Unnamed: 0,categories,dates,event_links,event_titles
138.0,Best for Kids,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/bonkerz-the-clown-at-fantasy-forest-amusement-park,Bonkerz The Clown at Fantasy Forest Amusement Park
139.0,"Nature,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/garden-highlights-walk,Garden Highlights Walk
140.0,"Concerts, Summer Concerts",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/citimusic-at-red-shed-community-garden,CITIMUSIC at RED SHED COMMUNITY GARDEN
141.0,Art,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/fall-exhibitions-opening,"Fall Exhibition Opening: ""Call & Response"""
142.0,"Accessible,Education,Art,History,Talks",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/talking-to-the-bones-poems-on-african-american-burial-ground,Talking to the Bones: Poems on African American Burial Ground
143.0,Best for Kids,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/bonkerz-the-clown-at-fantasy-forest-amusement-park1,Bonkerz The Clown at Fantasy Forest Amusement Park
144.0,"Accessible,Concerts,Nature, Summer Concerts",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/jazz-in-the-park-with-alex-nguyen-and-friends,Jazz in the Park with Alex Nguyen and Friends
145.0,"Accessible,Film,Best for Kids, Summer Movies,Movies Under the Stars",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/movies-under-the-stars-the-secret-life-of-pets,Movies Under the Stars: The Secret Life of Pets
146.0,"Accessible,Film, Summer Movies,Seniors,Movies Under the Stars",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/movies-under-the-stars-mahogany,Movies Under the Stars: Mahogany
147.0,"Birding,Nature,Wildlife",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/bryant-park-fall-birding-tours,Bryant Park Fall Birding Tours
148.0,"Volunteer,It's My Park",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/its-my-park-at-michael-j-leonard-memorial-plaza,It's My Park at Michael J. Leonard Memorial Plaza
149.0,Volunteer,09/11/2017,https://www.nycgovparks.org/events/2017/09/11/prospect-park-alliance-monday-eastside-revival,Prospect Park Alliance Monday Eastside Revival
