categories,dates,event_links,event_titles
"Accessible,Film,Best for Kids,Free Summer Movies,Movies Under the StarsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-sing,Movies Under the Stars: Sing
"Education,Nature,TalksFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/the-city-after-climate-change,The City After Climate Change
"Film,Best for Kids,Free Summer Movies,Movies Under the StarsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-storks,Movies Under the Stars: Storks
"Film,Free Summer Movies,Movies Under the StarsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-guardians-of-the-galaxy-vol-2,Movies Under the Stars: Guardians of the Galaxy Vol. 2
"Accessible,Concerts,Art,Film,Free Summer Movies,Free Summer Concerts,SeniorsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/outdoor-movie-screening-nysferatu-symphony-of-a-century-by-andrea-mostrovito1,Outdoor Movie Screening - NYsferatu: Symphony of a Century by Andrea Mastrovito
"Film,Free Summer Movies,Movies Under the StarsFree",09/09/2017,https://www.nycgovparks.org/events/2017/09/09/movies-under-the-stars-hidden-figures,Movies Under the Stars: Hidden Figures
ArtFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-fence,The Fence
FitnessFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-marine-park,NYRR Open Run: Marine Park
FitnessFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-conference-house-park,NYRR Open Run: Conference House Park
FitnessFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-crotona-park,NYRR Open Run: Crotona Park
FitnessFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nyrr-open-run-cunningham-park,NYRR Open Run: Cunningham Park
"Markets,FoodFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/farmers-market,Cunningham Park Farmers Market
"Markets,Food",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/hattie-carthan-community-sunday-farmers-market,Hattie Carthan Community Sunday Farmers Market
"Birding,Education,Nature,Tours,Wildlife",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/fall-birding,Fall Birding
"Fitness,Outdoor FitnessFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/free-yoga-in-the-hudson-boulevard-park,Free Yoga
"Fitness,Outdoor FitnessFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/tai-chi-fort-greene,Tai Chi Fort Greene
"Nature,History,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/prospect-park-walking-tours,Prospect Park Walking Tours
VolunteerFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/roger-morris-park-garden-volunteer-day,Roger Morris Park Garden Volunteer Day
"Arts & Crafts,Best for Kids",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/family-art-project-borderless-plants-and-kavad-boxes,Family Art Project: Borderless Plants and Kavad Boxes
"Volunteer,It's My ParkFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/its-my-park-at-cedar-grove-beach,It's My Park at Cedar Grove Beach
"History,ToursFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/worlds-fair-history-walking-tour,CANCELLED: World's Fair History Walking Tour
"Arts & Crafts,Best for Kids,Theater",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-princess-the-emperor-and-the-duck,"The Princess, The Emperor and The Duck"
"History,Tours,HikingFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/historic-new-york-old-croton-aqueduct,Historic New York: Old Croton Aqueduct
"Education,Nature,History,Tours,Seniors",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/central-park-tour-north-woods,Central Park Tour: North Woods
"Nature,Hiking,WildlifeFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/thomas-jefferson-park-to-randalls-island-moderate,Thomas Jefferson Park to Randall's Island Hike (Moderate)
"Nature,FishingFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/seining1,Seining
"Nature,HikingFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/trail-of-the-month-red-trail-from-high-rock-park,Trail of the Month: Red Trail from High Rock Park
"Education,Dance,Nature,Art,WaterfrontFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/healing-drum-circle,Healing Drum Circle
"Education,Nature,Best for Kids,Tours,Food,Talks,WaterfrontFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/urban-farm-exploration-day,Urban Farm Exploration Day
"Volunteer,It's My ParkFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/its-my-park-at-maria-hernandez-park,POSTPONED:  It's My Park at Maria Hernandez Park
"Education,Nature,Best for Kids,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/family-nature-walk,Family Nature Walk
"Nature,Fitness,Sports,Kayaking and Canoeing,Waterfront,Outdoor FitnessFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/free-community-rowing-at-pier-40,Free Community Rowing at Pier 40
VolunteerFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/forest-crew,Forest Crew
"History,ToursFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/worlds-fair-history-walking-tour1,CANCELLED: World's Fair History Walking Tour
"Arts & Crafts,Best for Kids,Theater",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-princess-the-emperor-and-the-duck1,"The Princess, The Emperor and The Duck"
"Nature,Best for Kids,WildlifeFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/seaside-wildlife-exploration,Seaside Wildlife Exploration
"Nature,ToursFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/nature-scavenger-hunt,Nature Scavenger Hunt
"Accessible,Best for Kids,Sports",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/youth-wheelchair-basketball-host-by-new-york-rolling-fury,Youth Wheelchair Basketball Hosted by New York Rolling Fury
"Concerts,DanceFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/the-7th-annual-washington-square-park-folk-festival,The 7th Annual Washington Square Park Folk Festival
"Accessible,Arts & Crafts,Concerts,Festivals,Games,Best for Kids,Free Summer Concerts,WaterfrontFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/summer-on-the-hudson-west-side-county-fair,Summer on the Hudson: West Side County Fair
Best for KidsFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/bonkerz-the-clown-at-fantasy-forest-amusement-park,Bonkerz The Clown at Fantasy Forest Amusement Park
"Nature,Tours",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/garden-highlights-walk,Garden Highlights Walk
"Concerts,Free Summer ConcertsFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/citimusic-at-red-shed-community-garden,CITIMUSIC at RED SHED COMMUNITY GARDEN
Art,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/fall-exhibitions-opening,"Fall Exhibition Opening: ""Call & Response"""
"Accessible,Education,Art,History,TalksFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/talking-to-the-bones-poems-on-african-american-burial-ground,Talking to the Bones: Poems on African American Burial Ground
Best for KidsFree,09/10/2017,https://www.nycgovparks.org/events/2017/09/10/bonkerz-the-clown-at-fantasy-forest-amusement-park1,Bonkerz The Clown at Fantasy Forest Amusement Park
"Accessible,Concerts,Nature,Free Summer ConcertsFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/jazz-in-the-park-with-alex-nguyen-and-friends,Jazz in the Park with Alex Nguyen and Friends
"Accessible,Film,Best for Kids,Free Summer Movies,Movies Under the StarsFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/movies-under-the-stars-the-secret-life-of-pets,Movies Under the Stars: The Secret Life of Pets
"Accessible,Film,Free Summer Movies,Seniors,Movies Under the StarsFree",09/10/2017,https://www.nycgovparks.org/events/2017/09/10/movies-under-the-stars-mahogany,Movies Under the Stars: Mahogany
"Birding,Nature,WildlifeFree",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/bryant-park-fall-birding-tours,Bryant Park Fall Birding Tours
"Volunteer,It's My ParkFree",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/its-my-park-at-michael-j-leonard-memorial-plaza,It's My Park at Michael J. Leonard Memorial Plaza
VolunteerFree,09/11/2017,https://www.nycgovparks.org/events/2017/09/11/prospect-park-alliance-monday-eastside-revival,Prospect Park Alliance Monday Eastside Revival
"Art,History,ToursFree",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/conference-house-inside-out,Conference House: Inside Out
"Nature,History,ToursFree",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/central-park-tour-heart-of-the-park,Central Park Tour: Heart of the Park
"Art,ToursFree",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/art-tour-mutations,High Line Art Tour: Mutations
"Film,Free Summer Movies,Movies Under the StarsFree",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/movies-under-the-stars-star-wars-rogue-one,Movies Under the Stars: Star Wars: Rogue One
FitnessFree,09/12/2017,https://www.nycgovparks.org/events/2017/09/12/morning-fitness-at-fort-tryon-park,Morning Fitness at Fort Tryon Park
"Education,FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/bryant-park-tai-chi,Bryant Park Tai Chi
"Fitness,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/meditation,Meditation
"Nature,Fitness,Waterfront,Outdoor Fitness,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/fitness-walk,Fitness Walk
